Dataset,Mean(|coef|),Std(|coef|)
Original,0.4167312487305646,0.38659836007212023
PCA,0.2116151708667798,0.28440187916612925
SelectKBest,0.44003076188049695,0.3575632531940401
RFE,0.6678737893713701,0.35028575729718564
