Dataset,Accuracy,PredictTime(s),TrainTime(s)
Original,0.956140350877193,0.002020120620727539,0.0
PCA,0.956140350877193,0.0009958744049072266,0.0012407302856445312
SelectKBest,0.956140350877193,0.0012159347534179688,0.0009992122650146484
RFE,0.956140350877193,0.000993967056274414,0.0010302066802978516
