Dataset,Accuracy,PredictTime(s),TrainTime(s)
Original,0.956140350877193,0.0157167911529541,0.12862372398376465
PCA,0.9210526315789473,0.01471567153930664,0.17455506324768066
SelectKBest,0.9385964912280702,0.028655529022216797,0.16109585762023926
RFE,0.9473684210526315,0.028824329376220703,0.12167096138000488
