Dataset,Accuracy,PredictTime(s),TrainTime(s)
Original,0.956140350877193,0.02757549285888672,0.14345455169677734
PCA,0.9210526315789473,0.01546931266784668,0.12182211875915527
SelectKBest,0.9385964912280702,0.01605224609375,0.1291797161102295
RFE,0.9473684210526315,0.016004562377929688,0.12117385864257812
