Dataset,Inertia,Silhouette,Iterations,Time(s)
Original,139.8204963597498,0.45994823920518635,4,0.01883864402770996
PCA,115.02075663594005,0.5091683341538228,4,0.01903676986694336
SelectKBest,18.02696261254407,0.6741313114151009,6,0.02007746696472168
