Dataset,Accuracy,PredictTime(s),TrainTime(s)
Original,0.956140350877193,0.005525112152099609,0.0
PCA,0.956140350877193,0.001783132553100586,0.0
SelectKBest,0.956140350877193,0.001043558120727539,0.0009922981262207031
RFE,0.956140350877193,0.0,0.0
